GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
checker-cli,com.luchersol,MainCLI,21,0,0,0,6,0,3,0,3,0
checker-cli,com.luchersol,CreateClassCommand,6,0,0,0,2,0,2,0,2,0
